,artist,song,spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cp_length,genres
2500,meghan trainor,all about that bass,5jE48hhRu8E6zBDPRSkEq7,0.807,0.887,9.0,-3.7260000000000004,1.0,0.0503,0.0573,2.87e-06,0.124,0.961,134.05200000000002,187920.0,4.0,5,"['dance pop', 'hip pop', 'pop', 'post-teen pop']"
2501,meghan trainor,dear future husband,3cU2wBxuV6nFiuf6PJZNlC,0.655,0.782,1.0,-4.789,1.0,0.185,0.375,0.0,0.317,0.8320000000000001,79.42699999999998,184227.0,4.0,3,"['dance pop', 'hip pop', 'pop', 'post-teen pop']"
2502,meghan trainor,like i'm gonna lose you feat john legend,2YlZnw2ikdb837oKMKjBkW,0.63,0.53,0.0,-7.258999999999999,1.0,0.0434,0.4,0.0,0.177,0.41700000000000004,108.038,225053.0,3.0,3,"['dance pop', 'hip pop', 'pop', 'post-teen pop']"
2503,meghan trainor,no,0l0CvurVUrr2w3Jj1hOVFc,0.557,0.8009999999999999,1.0,-3.602,0.0,0.218,0.0125,1.66e-06,0.737,0.654,92.135,213507.0,4.0,4,"['dance pop', 'hip pop', 'pop', 'post-teen pop']"
2504,melanie martinez,dollhouse,6wNeKPXF0RDKyvfKfri5hf,0.725,0.708,5.0,-5.331,0.0,0.0756,0.22,0.0,0.777,0.555,130.029,231853.0,4.0,5,['pop']
2505,melanie martinez,pity party,3fo6DYGktjENCiagUeU9yH,0.716,0.73,6.0,-4.126,0.0,0.0364,0.057999999999999996,7.32e-06,0.151,0.33899999999999997,136.05,204086.0,4.0,5,['pop']
2506,melodysheep,magically delicious,0rTevlwZACEYgCnynC9fzN,0.5429999999999999,0.879,1.0,-5.654,1.0,0.299,0.122,0.0,0.12,0.6459999999999999,182.033,135824.0,4.0,3,['downtempo fusion']
2507,mental as anything,the nips are getting bigger,4wxbvj2DU5UVsUVU9FORSB,0.8170000000000001,0.866,7.0,-5.369,1.0,0.0788,0.0338,0.0238,0.14300000000000002,0.966,150.134,200800.0,4.0,5,"['australian alternative rock', 'australian rock']"
2508,metallica,battery,7wz8LNfmGZ3C0PwKW9LdDg,0.48,0.9229999999999999,11.0,-8.793,0.0,0.0682,0.00021099999999999998,0.531,0.106,0.44,96.535,312360.0,4.0,3,"['hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
2509,metallica,fade to black,0dqGfCMAGyDgpUAgLNOjWd,0.256,0.929,7.0,-6.6670000000000025,1.0,0.113,0.0031100000000000004,0.201,0.11,0.278,113.47,417227.0,4.0,3,"['hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
2510,metallica,fade to black,0dqGfCMAGyDgpUAgLNOjWd,0.256,0.929,7.0,-6.6670000000000025,1.0,0.113,0.0031100000000000004,0.201,0.11,0.278,113.47,417227.0,4.0,4,"['hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
2511,metallica,master of puppets,54bm2e3tk8cliUz3VSdCPZ,0.539,0.828,4.0,-9.107999999999999,0.0,0.035,0.00067,0.42100000000000004,0.154,0.562,105.25,515387.0,4.0,3,"['hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
2512,metallica,nothing else matters,10igKaIKsSB6ZnWxPxPvKO,0.5579999999999999,0.364,4.0,-11.258,0.0,0.0265,0.0505,5.02e-06,0.0753,0.17,142.171,388733.0,3.0,5,"['hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
2513,metallica,the day that never comes,2gqzkEF88vMclfRZEIOnQO,0.33399999999999996,0.986,4.0,-1.046,0.0,0.0576,0.00011399999999999999,0.0353,0.0805,0.48,124.66799999999999,476267.0,4.0,3,"['hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
2514,metallica,the day that never comes,2gqzkEF88vMclfRZEIOnQO,0.33399999999999996,0.986,4.0,-1.046,0.0,0.0576,0.00011399999999999999,0.0353,0.0805,0.48,124.66799999999999,476267.0,4.0,5,"['hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
2515,metallica,the unforgiven 2,6obwpZZlFVablrXylXiZ8O,0.273,0.8440000000000001,6.0,-7.814,1.0,0.12,0.0531,0.00041500000000000017,0.385,0.295,79.203,439951.0,4.0,3,"['hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
